num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location
167,PC4352,,,B,PL,21.2,76.26,F,7,6,Svinnanes
168,PC4353,,,B,PL,17.4,38.43,F,7,6,Svinnanes
169,PC4354,,,B,PL,21.4,77.76,M,7,6,Svinnanes
170,PC4355,,,B,PL,18,40.49,M,7,6,Svinnanes
171,PC4356,,,B,PL,21.4,74.03,M,7,6,Svinnanes
172,PC4357,,,B,PL,21.8,89.24,F,7,7,Svinnanes
173,PC4358,,,B,PL,21,70.3,F,7,6,Svinnanes
174,PC4359,,,B,PL,22.4,101.1,F,7,7,Svinnanes
175,PC4360,,,B,PL,23.2,91.75,F,7,8,Svinnanes
176,PC4361,,,B,PL,21.4,80.68,F,7,7,Svinnanes
177,PC4362,,,B,PL,19.2,58.28,M,7,4,Svinnanes
178,PC4363,,,B,PL,18.2,41.6,F,7,6,Svinnanes
179,PC4364,,,B,PL,20.4,62.64,F,7,7,Svinnanes
180,PC4365,,,B,PL,24,109.96,F,7,8,Svinnanes
181,PC4366,,,B,PL,15.8,27.36,M,7,5,Svinnanes
182,PC4367,,,B,PL,19.2,57.5,F,7,6,Svinnanes
183,PC4368,,,B,PL,20,55.21,F,7,5,Svinnanes
184,PC4369,,,B,PL,18.2,49.95,F,7,6,Svinnanes
185,PC4370,,,B,PL,23.6,102.51,M,7,7,Svinnanes
186,PC4371,,,B,LB,50,1340,F,2,NA,Svinnanes
187,PC4372,,,B,PI,45.4,1030,M,7,12,Svinnanes
188,PC4373,,,B,LB,37.6,730,F,2,7,Svinnanes
189,PC4374,,,B,PI,37.6,500,F,7,9,Svinnanes
190,PC4375,,,B,LB,52.8,1500,F,2,12,Svinnanes
191,PC4376,,,B,LB,40.4,765,F,2,8,Svinnanes
192,PC4377,,,B,PI,52.4,1505,M,6,9,Svinnanes
193,PC4378,,,B,PI,41.2,680,M,7,8,Svinnanes
194,PC4379,,,B,LB,46.2,1315,M,1,7,Svinnanes
195,PC4380,,,B,PI,46,1255,M,1,7,Svinnanes
196,PC4381,,,B,PI,36,525,M,7,7,Svinnanes
197,PC4382,,,B,PI,44.2,940,M,7,8,Svinnanes
198,PC4383,,,B,PI,34.6,375,M,7,7,Svinnanes
199,PC4384,,,B,PI,43.8,995,F,7,9,Svinnanes
200,PC4385,,,B,PI,36.4,380,M,7,7,Svinnanes
201,PC4386,,,B,PI,36.6,435,M,7,9,Svinnanes
202,PC4387,,,B,LB,40.6,750,M,1,7,Svinnanes
203,PC4388,,,B,LB,38,615,M,2,8,Svinnanes
204,PC4389,,,B,PI,42,725,M,7,8,Svinnanes
205,PC4390,,,B,PI,37.8,485,M,6,8,Svinnanes
206,PC4391,,,B,PL,23.6,100,F,7,7,Svinnanes
207,PC4392,,,B,PI,30.2,235,F,7,8,Svinnanes
208,PC4393,,,B,PI,36.7,575,M,7,10,Svinnanes
