num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name
177,PC4324,,,B,LB,44,1040,M,7,9,Olafsdrattur,GOJfall20_max_PC4324_01.JPG,CFAC_21_MAX_PC4324_01.JPG
178,PC4325,,,B,LB,34,400,M,7,8,Olafsdrattur,GOJfall20_max_PC4325_01.JPG,CFAC_21_MAX_PC4325_01.JPG
179,PC4326,,,B,LB,39.9,780,M,7,8,Olafsdrattur,GOJfall20_max_PC4326_01.JPG,CFAC_21_MAX_PC4326_01.JPG
180,PC4327,,,B,LB,53,1935,M,7,9,Olafsdrattur,GOJfall20_max_PC4327_01.JPG,CFAC_21_MAX_PC4327_01.JPG
181,PC4328,,,B,LB,41.2,780,M,7,8,Olafsdrattur,GOJfall20_max_PC4328_01.JPG,CFAC_21_MAX_PC4328_01.JPG
182,PC4329,,,B,LB,35.4,670,M,7,7,Olafsdrattur,GOJfall20_max_PC4329_01.JPG,CFAC_21_MAX_PC4329_01.JPG
183,PC4330,,,B,LB,41.9,925,M,7,7,Olafsdrattur,GOJfall20_max_PC4330_01.JPG,CFAC_21_MAX_PC4330_01.JPG
184,PC4331,,,B,LB,40.8,800,F,7,11,Olafsdrattur,GOJfall20_max_PC4331_01.JPG,CFAC_21_MAX_PC4331_01.JPG
185,PC4332,,,B,LB,30.3,330,M,7,7,Olafsdrattur,GOJfall20_max_PC4332_01.JPG,CFAC_21_MAX_PC4332_01.JPG
186,PC4333,,,B,LB,43,830,M,7,7,Olafsdrattur,GOJfall20_max_PC4333_01.JPG,CFAC_21_MAX_PC4333_01.JPG
187,PC4334,,,B,LB,44,960,F,7,8,Olafsdrattur,GOJfall20_max_PC4334_01.JPG,CFAC_21_MAX_PC4334_01.JPG
188,PC4349,,,B,PL,25.2,119.64,F,7,7,Svinnanes,GOJfall20_max_PC4349_01.JPG,CFAC_21_MAX_PC4349_01.JPG
189,PC4350,,,B,PL,17.4,38.03,M,7,6,Svinnanes,GOJfall20_max_PC4350_01.JPG,CFAC_21_MAX_PC4350_01.JPG
190,PC4351,,,B,PL,19,54.31,M,7,6,Svinnanes,GOJfall20_max_PC4351_01.JPG,CFAC_21_MAX_PC4351_01.JPG
191,PC4352,,,B,PL,21.2,76.26,F,7,6,Svinnanes,GOJfall20_max_PC4352_01.JPG,CFAC_21_MAX_PC4352_01.JPG
192,PC4353,,,B,PL,17.4,38.43,F,7,6,Svinnanes,GOJfall20_max_PC4353_01.JPG,CFAC_21_MAX_PC4353_01.JPG
193,PC4354,,,B,PL,21.4,77.76,M,7,6,Svinnanes,GOJfall20_max_PC4354_01.JPG,CFAC_21_MAX_PC4354_01.JPG
194,PC4355,,,B,PL,18,40.49,M,7,6,Svinnanes,GOJfall20_max_PC4355_01.JPG,CFAC_21_MAX_PC4355_01.JPG
195,PC4356,,,B,PL,21.4,74.03,M,7,6,Svinnanes,GOJfall20_max_PC4356_01.JPG,CFAC_21_MAX_PC4356_01.JPG
196,PC4357,,,B,PL,21.8,89.24,F,7,7,Svinnanes,GOJfall20_max_PC4357_01.JPG,CFAC_21_MAX_PC4357_01.JPG
197,PC4358,,,B,PL,21,70.3,F,7,6,Svinnanes,GOJfall20_max_PC4358_01.JPG,CFAC_21_MAX_PC4358_01.JPG
198,PC4359,,,B,PL,22.4,101.1,F,7,7,Svinnanes,GOJfall20_max_PC4359_01.JPG,CFAC_21_MAX_PC4359_01.JPG
199,PC4360,,,B,PL,23.2,91.75,F,7,8,Svinnanes,GOJfall20_max_PC4360_01.JPG,CFAC_21_MAX_PC4360_01.JPG
200,PC4361,,,B,PL,21.4,80.68,F,7,7,Svinnanes,GOJfall20_max_PC4361_01.JPG,CFAC_21_MAX_PC4361_01.JPG
201,PC4362,,,B,PL,19.2,58.28,M,7,4,Svinnanes,GOJfall20_max_PC4362_01.JPG,CFAC_21_MAX_PC4362_01.JPG
202,PC4363,,,B,PL,18.2,41.6,F,7,6,Svinnanes,GOJfall20_max_PC4363_01.JPG,CFAC_21_MAX_PC4363_01.JPG
203,PC4364,,,B,PL,20.4,62.64,F,7,7,Svinnanes,GOJfall20_max_PC4364_01.JPG,CFAC_21_MAX_PC4364_01.JPG
204,PC4365,,,B,PL,24,109.96,F,7,8,Svinnanes,GOJfall20_max_PC4365_01.JPG,CFAC_21_MAX_PC4365_01.JPG
205,PC4366,,,B,PL,15.8,27.36,M,7,5,Svinnanes,GOJfall20_max_PC4366_01.JPG,CFAC_21_MAX_PC4366_01.JPG
206,PC4367,,,B,PL,19.2,57.5,F,7,6,Svinnanes,GOJfall20_max_PC4367_01.JPG,CFAC_21_MAX_PC4367_01.JPG
207,PC4368,,,B,PL,20,55.21,F,7,5,Svinnanes,GOJfall20_max_PC4368_01.JPG,CFAC_21_MAX_PC4368_01.JPG
208,PC4369,,,B,PL,18.2,49.95,F,7,6,Svinnanes,GOJfall20_max_PC4369_01.JPG,CFAC_21_MAX_PC4369_01.JPG
209,PC4370,,,B,PL,23.6,102.51,M,7,7,Svinnanes,GOJfall20_max_PC4370_01.JPG,CFAC_21_MAX_PC4370_01.JPG
210,PC4371,,,B,LB,50,1340,F,2,NA,Svinnanes,GOJfall20_max_PC4371_01.JPG,CFAC_21_MAX_PC4371_01.JPG
211,PC4372,,,B,PI,45.4,1030,M,7,12,Svinnanes,GOJfall20_max_PC4372_01.JPG,CFAC_21_MAX_PC4372_01.JPG
212,PC4373,,,B,LB,37.6,730,F,2,7,Svinnanes,GOJfall20_max_PC4373_01.JPG,CFAC_21_MAX_PC4373_01.JPG
213,PC4274,,,B,PI,37.6,500,F,7,9,Svinnanes,GOJfall20_max_PC4374_01.JPG,CFAC_21_MAX_PC4374_01.JPG
214,PC4375,,,B,LB,52.8,1500,F,2,12,Svinnanes,GOJfall20_max_PC4375_01.JPG,CFAC_21_MAX_PC4375_01.JPG
215,PC4376,,,B,LB,40.4,765,F,2,8,Svinnanes,GOJfall20_max_PC4376_01.JPG,CFAC_21_MAX_PC4376_01.JPG
216,PC4377,,,B,PI,52.4,1505,M,6,9,Svinnanes,GOJfall20_max_PC4377_01.JPG,CFAC_21_MAX_PC4377_01.JPG
217,PC4378,,,B,PI,41.2,680,M,7,8,Svinnanes,GOJfall20_max_PC4378_01.JPG,CFAC_21_MAX_PC4378_01.JPG
218,PC4379,,,B,LB,46.2,1315,M,1,7,Svinnanes,GOJfall20_max_PC4379_01.JPG,CFAC_21_MAX_PC4379_01.JPG
219,PC4380,,,B,PI,46,1255,M,1,7,Svinnanes,GOJfall20_max_PC4380_01.JPG,CFAC_21_MAX_PC4380_01.JPG
220,PC4381,,,B,PI,36,525,M,7,7,Svinnanes,GOJfall20_max_PC4381_01.JPG,CFAC_21_MAX_PC4381_01.JPG
221,PC4382,,,B,PI,44.2,940,M,7,8,Svinnanes,GOJfall20_max_PC4382_01.JPG,CFAC_21_MAX_PC4382_01.JPG
222,PC4383,,,B,PI,34.6,375,M,7,7,Svinnanes,GOJfall20_max_PC4383_01.JPG,CFAC_21_MAX_PC4383_01.JPG
223,PC4384,,,B,PI,43.8,995,F,7,9,Svinnanes,GOJfall20_max_PC4384_01.JPG,CFAC_21_MAX_PC4384_01.JPG
224,PC4385,,,B,PI,36.4,380,M,7,7,Svinnanes,GOJfall20_max_PC4385_01.JPG,CFAC_21_MAX_PC4385_01.JPG
225,PC4386,,,B,PI,36.6,435,M,7,9,Svinnanes,GOJfall20_max_PC4386_01.JPG,CFAC_21_MAX_PC4386_01.JPG
226,PC4387,,,B,LB,40.6,750,M,1,7,Svinnanes,GOJfall20_max_PC4387_01.JPG,CFAC_21_MAX_PC4387_01.JPG
227,PC4388,,,B,LB,38,615,M,2,8,Svinnanes,GOJfall20_max_PC4388_01.JPG,CFAC_21_MAX_PC4388_01.JPG
228,PC4389,,,B,PI,42,725,M,7,8,Svinnanes,GOJfall20_max_PC4389_01.JPG,CFAC_21_MAX_PC4389_01.JPG
229,PC4390,,,B,PI,37.8,485,M,6,8,Svinnanes,GOJfall20_max_PC4390_01.JPG,CFAC_21_MAX_PC4390_01.JPG
230,PC4391,,,B,PL,23.6,100,F,7,7,Svinnanes,GOJfall20_max_PC4391_01.JPG,CFAC_21_MAX_PC4391_01.JPG
231,PC4392,,,B,PI,30.2,235,F,7,8,Svinnanes,GOJfall20_max_PC4392_01.JPG,CFAC_21_MAX_PC4392_01.JPG
232,PC4393,,,B,PI,36.7,575,M,7,10,Svinnanes,GOJfall20_max_PC4393_01.JPG,CFAC_21_MAX_PC4393_01.JPG
