num,id_me,id_Hafró,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name
162,PC4333,,,B,LB,43,830,M,7,7,Olafsdrattur,GOJfall20_body_PC4333.JPG,CFAC_21_EXT_PC4333_01.JPG
163,PC4334,,,B,LB,44,960,F,7,8,Olafsdrattur,GOJfall20_body_PC4334.JPG,CFAC_21_EXT_PC4334_01.JPG
164,PC4349,,,B,PL,25.2,119.64,F,7,7,Svinnanes,GOJfall20_body_PC4349.JPG,CFAC_21_EXT_PC4349_01.JPG
165,PC4350,,,B,PL,17.4,38.03,M,7,6,Svinnanes,GOJfall20_body_PC4350.JPG,CFAC_21_EXT_PC4350_01.JPG
166,PC4351,,,B,PL,19,54.31,M,7,6,Svinnanes,GOJfall20_body_PC4351.JPG,CFAC_21_EXT_PC4351_01.JPG
167,PC4352,,,B,PL,21.2,76.26,F,7,6,Svinnanes,GOJfall20_body_PC4352.JPG,CFAC_21_EXT_PC4352_01.JPG
168,PC4353,,,B,PL,17.4,38.43,F,7,6,Svinnanes,GOJfall20_body_PC4353.JPG,CFAC_21_EXT_PC4353_01.JPG
169,PC4354,,,B,PL,21.4,77.76,M,7,6,Svinnanes,GOJfall20_body_PC4354.JPG,CFAC_21_EXT_PC4354_01.JPG
170,PC4355,,,B,PL,18,40.49,M,7,6,Svinnanes,GOJfall20_body_PC4355.JPG,CFAC_21_EXT_PC4355_01.JPG
171,PC4356,,,B,PL,21.4,74.03,M,7,6,Svinnanes,GOJfall20_body_PC4356.JPG,CFAC_21_EXT_PC4356_01.JPG
172,PC4357,,,B,PL,21.8,89.24,F,7,7,Svinnanes,GOJfall20_body_PC4357.JPG,CFAC_21_EXT_PC4357_01.JPG
173,PC4358,,,B,PL,21,70.3,F,7,6,Svinnanes,GOJfall20_body_PC4358.JPG,CFAC_21_EXT_PC4358_01.JPG
174,PC4359,,,B,PL,22.4,101.1,F,7,7,Svinnanes,GOJfall20_body_PC4359.JPG,CFAC_21_EXT_PC4359_01.JPG
175,PC4360,,,B,PL,23.2,91.75,F,7,8,Svinnanes,GOJfall20_body_PC4360.JPG,CFAC_21_EXT_PC4360_01.JPG
176,PC4361,,,B,PL,21.4,80.68,F,7,7,Svinnanes,GOJfall20_body_PC4361.JPG,CFAC_21_EXT_PC4361_01.JPG
177,PC4362,,,B,PL,19.2,58.28,M,7,4,Svinnanes,GOJfall20_body_PC4362.JPG,CFAC_21_EXT_PC4362_01.JPG
178,PC4363,,,B,PL,18.2,41.6,F,7,6,Svinnanes,GOJfall20_body_PC4363.JPG,CFAC_21_EXT_PC4363_01.JPG
179,PC4364,,,B,PL,20.4,62.64,F,7,7,Svinnanes,GOJfall20_body_PC4364.JPG,CFAC_21_EXT_PC4364_01.JPG
180,PC4365,,,B,PL,24,109.96,F,7,8,Svinnanes,GOJfall20_body_PC4365.JPG,CFAC_21_EXT_PC4365_01.JPG
