num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name,teeth_den,teeth_max,teeth_pre,teeth_pal,teeth_vo,teeth_glos
57,PC3865,SBL11,,B,PI,24.5,162,M,6,7,Ofugsnaði,GOJfall20_mand_PC3865_02.JPG,CFAC_20_MAN_PC3865_02.JPG,18,20.25,8.25,19,4.5,12
58,PC3867,KBL16,,B,LB,24.5,145,F,7.2,NA,Ofugsnaði,GOJfall20_mand_PC3867_02.JPG,CFAC_20_MAN_PC3867_02.JPG,14.75,24,8.5,17.25,7,11.5
59,PC3868,KBL17,,B,LB,34.2,430,F,7.2,6,Ofugsnaði,GOJfall20_mand_PC3868_02.JPG,CFAC_20_MAN_PC3868_02.JPG,16.5,21.25,7,19,3,10
60,PC3870,M21,,B,PL,20.5,81,F,5,7,Ofugsnaði,GOJfall20_mand_PC3870_02.JPG,CFAC_20_MAN_PC3870_02.JPG,17,18.5,7.75,19.5,5,11.5
61,PC3873,M27,,B,PL,18.5,65,M,4,5,Ofugsnaði,GOJfall20_mand_PC3873_02.JPG,CFAC_20_MAN_PC3873_02.JPG,16.5,19,6,16.75,6.5,13
62,PC3875,M29,,B,PL,21,103,M,4,5,Ofugsnaði,GOJfall20_mand_PC3875_02.JPG,CFAC_20_MAN_PC3875_02.JPG,15.75,20.5,7.5,16.25,4,13
63,PC3876,M30,,B,PL,18.8,74,F,5,5,Ofugsnaði,GOJfall20_mand_PC3876_02.JPG,CFAC_20_MAN_PC3876_02.JPG,14.75,18.75,8,14.5,4,12.5
64,PC3885,M31,,B,PL,19.1,72,M,6,5,Ofugsnaði,GOJfall20_mand_PC3885_01.JPG,CFAC_20_MAN_PC3885_02.JPG,15.75,20.5,6.5,15.66666667,3,12
65,PC3896,SBL14,,B,PI,32.8,420,M,6,7,Ofugsnaði,GOJfall20_mand_PC3896_02.JPG,CFAC_20_MAN_PC3896_02.JPG,18.25,21.25,8,17,5,13
66,PC3898,SBL16,,B,PI,45.6,1246,M,6,10,Ofugsnaði,GOJfall20_mand_PC3898_01.JPG,CFAC_20_MAN_PC3898_02.JPG,19,23.25,8.5,20,7,13
67,PC3899,KBL22,,B,LB,48.7,1420,F,6,9,Ofugsnaði,GOJfall20_mand_PC3899_01.JPG,CFAC_20_MAN_PC3899_02.JPG,17,24,10,19,5,12
68,PC3900,SBL18,,B,PI,42.3,1091,F,5,8,Ofugsnaði,GOJfall20_mand_PC3900_02.JPG,CFAC_20_MAN_PC3900_02.JPG,18,23,7.5,18.5,7,14
69,PC3901,SBL19,,B,PI,32.6,396,M,6,8,Ofugsnaði,GOJfall20_mand_PC3901_02.JPG,CFAC_20_MAN_PC3901_02.JPG,14.75,24.5,8.5,17.5,5,11.5
70,PC3902,SBL21,,B,PI,57.3,2894,M,5,10,Ofugsnaði,GOJfall20_mand_PC3902_01.JPG,CFAC_20_MAN_PC3902_02.JPG,16.5,24.75,7,19.5,5,12
71,PC4200,,,B,PL,12.3,22.18,M,6,5,Svinnanes,GOJfall20_mand_PC4200_01.JPG,CFAC_20_MAN_PC4200_02.JPG,14.5,19,7.5,15,3,12.5
72,PC4201,,,B,PL,14,29.18,M,4,5,Svinnanes,GOJfall20_mand_PC4201_01.JPG,CFAC_20_MAN_PC4201_02.JPG,15.75,21,7.75,16.75,4,13
73,PC4202,,,B,PL,13.7,31.74,M,5,5,Svinnanes,GOJfall20_mand_PC4202_02.JPG,CFAC_20_MAN_PC4202_02.JPG,12.5,19.75,8.25,16.25,NA,10
74,PC4203,,,B,PL,15,38.61,M,7,5,Svinnanes,GOJfall20_mand_PC4203_02.JPG,CFAC_20_MAN_PC4203_02.JPG,14.25,20.25,7.75,15.25,6.5,12.5
75,PC4204,,,B,PL,13.4,26.01,M,5,5,Svinnanes,GOJfall20_mand_PC4204_02.JPG,CFAC_20_MAN_PC4204_02.JPG,15.75,19.5,7.5,20.25,6,12
76,PC4205,,,B,PL,13.6,29.49,M,4,4,Svinnanes,GOJfall20_mand_PC4205_02.JPG,CFAC_20_MAN_PC4205_02.JPG,14,19.5,8,14,4,12.5
77,PC4206,,,B,PL,13.3,25.06,M,6,4,Svinnanes,GOJfall20_mand_PC4206_01.JPG,CFAC_20_MAN_PC4206_02.JPG,12.25,17.5,8.25,17.25,3,13
78,PC4207,,,B,PL,13.6,29.32,M,6,4,Svinnanes,GOJfall20_mand_PC4207_02.JPG,CFAC_20_MAN_PC4207_02.JPG,13,16.75,7.5,14,NA,12.5
79,PC4208,,,B,PL,14.7,37.35,M,6,4,Svinnanes,GOJfall20_mand_PC4208_02.JPG,CFAC_20_MAN_PC4208_02.JPG,15,20.5,7.75,15,3.5,12.5
80,PC4209,,,B,PL,14,30.39,M,6,NA,Svinnanes,GOJfall20_mand_PC4209_02.JPG,CFAC_20_MAN_PC4209_02.JPG,14,18.5,6.5,15.25,NA,11
81,PC4210,,,B,PL,17,52.56,M,6,5,Svinnanes,GOJfall20_mand_PC4210_02.JPG,CFAC_20_MAN_PC4210_02.JPG,14.5,17.75,6,15.25,1,12
82,PC4211,,,B,PL,15.6,39.25,M,5,4,Svinnanes,GOJfall20_mand_PC4211_02.JPG,CFAC_20_MAN_PC4211_02.JPG,13.25,15,7.25,14,5,11
83,PC4212,,,B,PL,13.4,25.34,M,5,5,Svinnanes,GOJfall20_mand_PC4212_02.JPG,CFAC_20_MAN_PC4212_02.JPG,15.25,18.75,8.25,17.25,3,13
84,PC4213,,,B,PL,14.4,33.98,M,6,4,Svinnanes,GOJfall20_mand_PC4213_02.JPG,CFAC_20_MAN_PC4213_02.JPG,14,18.25,7.25,15.5,3,12
85,PC4214,,,B,PL,12,20.83,M,6,5,Svinnanes,GOJfall20_mand_PC4214_02.JPG,CFAC_20_MAN_PC4214_02.JPG,13,18,6.75,15,3,13
86,PC4215,,,B,PL,17,51.2,M,6,5,Svinnanes,GOJfall20_mand_PC4215_01.JPG,CFAC_20_MAN_PC4215_02.JPG,16,21.25,6.5,16,3.5,11.5
87,PC4216,,,B,PL,16.1,48.79,M,6,4,Svinnanes,GOJfall20_mand_PC4216_02.JPG,CFAC_20_MAN_PC4216_02.JPG,14.75,18.25,7,17,5.5,12.5
88,PC4217,,,B,PL,15.2,42.11,M,5,5,Svinnanes,GOJfall20_mand_PC4217_02.JPG,CFAC_20_MAN_PC4217_02.JPG,14.5,18.5,6,14.75,4.5,12
89,PC4218,,,B,PL,17.5,61.78,M,6,5,Svinnanes,GOJfall20_mand_PC4218_02.JPG,CFAC_20_MAN_PC4218_02.JPG,16,18.75,7,14.75,NA,12
90,PC4219,,2034,B,SB,10.5,20.71,M,6,4,Mjoanes,GOJfall20_mand_PC4219_02.JPG,CFAC_20_MAN_PC4219_02.JPG,12,15.75,6.25,13.5,4,8.5
91,PC4220,,2035,B,SB,14.2,21.42,M,6,3,Mjoanes,GOJfall20_mand_PC4220_02.JPG,CFAC_20_MAN_PC4220_02.JPG,12,16.75,6.25,15,4,10
92,PC4221,,2037,B,SB,20.8,102.75,F,4,6,Mjoanes,GOJfall20_mand_PC4221_02.JPG,CFAC_20_MAN_PC4221_02.JPG,14,22.25,7.5,16.75,5,11.5
93,PC4222,,2038,B,SB,14.1,32.86,M,6,8,Mjoanes,GOJfall20_mand_PC4222_01.JPG,CFAC_20_MAN_PC4222_02.JPG,13,19.5,7,15.75,5,11
94,PC4223,,2039,B,SB,14.3,31.8,F,7/6?,8,Mjoanes,GOJfall20_mand_PC4223_02.JPG,CFAC_20_MAN_PC4223_02.JPG,13.25,17.75,7.75,15.5,4,9
95,PC4224,,2040,B,SB,14.5,34.05,M,6,5,Mjoanes,GOJfall20_mand_PC4224_02.JPG,CFAC_20_MAN_PC4224_02.JPG,12.5,NA,7.5,18,3,11
96,PC4225,,2041,B,SB,16,44.77,F,6,4,Mjoanes,GOJfall20_mand_PC4225_02.JPG,CFAC_20_MAN_PC4225_02.JPG,13.75,18.5,7.5,19.75,4,12.5
97,PC4226,,2042,B,SB,11.9,14.48,F,7,5,Mjoanes,GOJfall20_mand_PC4226_02.JPG,CFAC_20_MAN_PC4226_02.JPG,12.75,15,7,13.75,3,12
98,PC4227,,2043,B,SB,13.6,27.99,M,6,5,Mjoanes,GOJfall20_mand_PC4227_02.JPG,CFAC_20_MAN_PC4227_02.JPG,15,20,8,15.5,5,11
99,PC4228,,2044,B,SB,20.2,103.34,F,7?,6,Mjoanes,GOJfall20_mand_PC4228_02.JPG,CFAC_20_MAN_PC4228_02.JPG,13.25,18,8.25,15.5,4,10
100,PC4229,,2045,B,SB,17,71.77,F,5,8,Mjoanes,GOJfall20_mand_PC4229_02.JPG,CFAC_20_MAN_PC4229_02.JPG,12.25,17,7,14,2.5,11
101,PC4230,,2046,B,SB,14.2,32.22,F,5,6,Mjoanes,GOJfall20_mand_PC4230_02.JPG,CFAC_20_MAN_PC4230_02.JPG,12,19,7,14.75,2,10.5
102,PC4231,,2047,B,PL,14.3,27.2,M,6,6,Mjoanes,GOJfall20_mand_PC4231_02.JPG,CFAC_20_MAN_PC4231_02.JPG,12.75,15.5,6.75,15.25,2,11
103,PC4232,,2048,B,SB,24.2,147.58,F,7,6,Mjoanes,GOJfall20_mand_PC4232_02.JPG,CFAC_20_MAN_PC4232_02.JPG,13.75,16.5,8,14.5,4,11
104,PC4233,,2049,B,SB,11,15.55,M,6,12,Mjoanes,GOJfall20_mand_PC4233_02.JPG,CFAC_20_MAN_PC4233_02.JPG,12.5,15,7.5,15,2,9.5
105,PC4235,,2036,B,SB,13.4,24.9,F,7/6?,5,Mjoanes,GOJfall20_mand_PC4235_02.JPG,CFAC_20_MAN_PC4235_02.JPG,13,17.5,7.75,16,4,12
106,PC4236,,2051,B,LB,50,1430,F,7,8,Mjoanes,GOJfall20_mand_PC4236_02.JPG,CFAC_20_MAN_PC4236_02.JPG,18.5,23,9,17.25,2,13.5
107,PC4237,,2052,B,PI,43.2,980,F,7,12,Mjoanes,GOJfall20_mand_PC4237_02.JPG,CFAC_20_MAN_PC4237_02.JPG,19.5,25,7.5,21,6.5,15
108,PC4238,,2053,B,PI,50,1795,M,6,8,Mjoanes,GOJfall20_mand_PC4238_02.JPG,CFAC_20_MAN_PC4238_02.JPG,19,23,8,17,7,11.5
109,PC4239,,2054,B,LB,43.4,995,M,7,8,Mjoanes,GOJfall20_mand_PC4239_02.JPG,CFAC_20_MAN_PC4239_02.JPG,13.5,20.5,7,17.25,5,11
110,PC4240,,2055,B,PI,41,780,F,7,9,Mjoanes,GOJfall20_mand_PC4240_02.JPG,CFAC_20_MAN_PC4240_02.JPG,16.25,18.75,7.25,15.5,5.5,11
111,PC4241,,2056,B,PI,35.6,490,F,7,12,Mjoanes,GOJfall20_mand_PC4241_02.JPG,CFAC_20_MAN_PC4241_02.JPG,15.25,18.25,8.25,16,4.5,12.5
112,PC4242,,2057,B,PI,33,425,M,5,9,Mjoanes,GOJfall20_mand_PC4242_02.JPG,CFAC_20_MAN_PC4242_02.JPG,16.75,23.25,7,19,5.5,13
113,PC4243,,2058,B,PI,36,565,M,6,12,Mjoanes,GOJfall20_mand_PC4243_02.JPG,CFAC_20_MAN_PC4243_02.JPG,16.75,21.75,8,18.5,5.5,14.5
114,PC4244,,2059,B,LB,32,345,M,5,4,Mjoanes,GOJfall20_mand_PC4244_02.JPG,CFAC_20_MAN_PC4244_02.JPG,14,21,7.75,19.25,5.5,10
115,PC4245,,2060,B,PI,27.2,245,M,5,12,Mjoanes,GOJfall20_mand_PC4245_02.JPG,CFAC_20_MAN_PC4245_02.JPG,16,25,8.75,15.25,NA,14.5
